type,open_time,close_time,entry_price,close_price,balance_before,balance_after,profit,profit_percent,fee_paid,duration_days,duration_hours,duration_minutes
LONG,2025-01-03 15:45:00.000000 ,2025-01-04 02:00:00.000000 ,97432.8,98040.0,1000.0,1005.73,5.73,0.57,0.5031,0,10,15
LONG,2025-01-04 21:00:00.000000 ,2025-01-05 04:00:00.000000 ,98599.02,98187.97,1005.73,1001.04,-4.69,-0.47,0.5008,0,7,0
LONG,2025-01-05 22:00:00.000000 ,2025-01-06 13:15:00.000000 ,98496.52,99044.49,1001.04,1006.1,5.07,0.51,0.5033,0,15,15
LONG,2025-01-06 15:30:00.000000 ,2025-01-07 03:30:00.000000 ,101678.11,101655.51,1006.1,1005.37,-0.73,-0.07,0.5029,0,12,0
SHORT,2025-01-08 00:00:00.000000 ,2025-01-09 00:15:00.000000 ,96954.6,94949.17,1005.37,1025.66,20.28,2.02,0.5131,1,0,15
SHORT,2025-01-09 05:45:00.000000 ,2025-01-10 03:00:00.000000 ,94426.57,93364.36,1025.66,1036.68,11.02,1.07,0.5186,0,21,15
SHORT,2025-01-10 15:45:00.000000 ,2025-01-10 19:45:00.000000 ,94104.01,95108.0,1036.68,1025.1,-11.57,-1.12,0.5128,0,4,0
LONG,2025-01-10 21:15:00.000000 ,2025-01-11 02:45:00.000000 ,94812.86,94312.49,1025.1,1019.18,-5.92,-0.58,0.5098,0,5,30
LONG,2025-01-12 00:00:00.000000 ,2025-01-12 05:15:00.000000 ,94599.99,94607.71,1019.18,1018.76,-0.43,-0.04,0.5096,0,5,15
SHORT,2025-01-12 10:00:00.000000 ,2025-01-12 14:15:00.000000 ,93906.21,94852.34,1018.76,1007.99,-10.77,-1.06,0.5042,0,4,15
LONG,2025-01-12 15:30:00.000000 ,2025-01-12 22:00:00.000000 ,95267.19,94352.7,1007.99,997.81,-10.18,-1.01,0.4992,0,6,30
SHORT,2025-01-13 08:45:00.000000 ,2025-01-13 19:00:00.000000 ,93269.28,92077.65,997.81,1010.06,12.24,1.23,0.5053,0,10,15
LONG,2025-01-14 13:45:00.000000 ,2025-01-15 11:30:00.000000 ,96296.01,96641.11,1010.06,1013.17,3.11,0.31,0.5068,0,21,45
LONG,2025-01-15 14:45:00.000000 ,2025-01-16 05:15:00.000000 ,98993.1,99381.75,1013.17,1016.64,3.47,0.34,0.5086,0,14,30
LONG,2025-01-16 19:00:00.000000 ,2025-01-18 01:15:00.000000 ,99584.23,104438.6,1016.64,1065.66,49.02,4.82,0.5331,1,6,15
SHORT,2025-01-20 06:30:00.000000 ,2025-01-20 07:00:00.000000 ,102640.0,107482.36,1065.66,1014.88,-50.78,-4.77,0.5077,0,0,30
LONG,2025-01-20 07:30:00.000000 ,2025-01-20 08:00:00.000000 ,108706.15,107120.65,1014.88,999.58,-15.3,-1.51,0.5,0,0,30
LONG,2025-01-20 08:30:00.000000 ,2025-01-20 16:30:00.000000 ,108038.55,105620.01,999.58,976.71,-22.87,-2.29,0.4886,0,8,0
SHORT,2025-01-20 21:00:00.000000 ,2025-01-21 02:00:00.000000 ,103647.16,101498.23,976.71,996.46,19.75,2.02,0.4985,0,5,0
SHORT,2025-01-22 03:15:00.000000 ,2025-01-22 06:15:00.000000 ,105815.11,105885.32,996.46,995.3,-1.16,-0.12,0.4979,0,3,0
SHORT,2025-01-23 04:30:00.000000 ,2025-01-23 15:00:00.000000 ,101809.99,105213.6,995.3,961.55,-33.76,-3.39,0.481,0,10,30
SHORT,2025-01-23 23:30:00.000000 ,2025-01-24 06:00:00.000000 ,104299.99,105222.15,961.55,952.57,-8.98,-0.93,0.4765,0,6,30
LONG,2025-01-24 09:45:00.000000 ,2025-01-24 22:15:00.000000 ,105297.09,105201.07,952.57,951.23,-1.34,-0.14,0.4759,0,12,30
LONG,2025-01-25 16:15:00.000000 ,2025-01-25 19:30:00.000000 ,104915.41,105002.95,951.23,951.54,0.32,0.03,0.476,0,3,15
SHORT,2025-01-27 01:15:00.000000 ,2025-01-27 14:30:00.000000 ,101434.01,100765.41,951.54,957.34,5.79,0.61,0.4789,0,13,15
SHORT,2025-01-27 20:00:00.000000 ,2025-01-27 21:45:00.000000 ,99700.01,101124.0,957.34,943.19,-14.15,-1.48,0.4718,0,1,45
LONG,2025-01-29 05:30:00.000000 ,2025-01-29 14:15:00.000000 ,102172.0,102040.0,943.19,941.5,-1.69,-0.18,0.471,0,8,45
LONG,2025-01-29 23:15:00.000000 ,2025-01-30 14:00:00.000000 ,104121.97,104879.99,941.5,947.88,6.38,0.68,0.4742,0,14,45
LONG,2025-01-30 17:15:00.000000 ,2025-01-30 21:00:00.000000 ,105335.4,104907.1,947.88,943.56,-4.33,-0.46,0.472,0,3,45
LONG,2025-01-31 14:00:00.000000 ,2025-01-31 19:15:00.000000 ,104664.01,102670.0,943.56,925.12,-18.44,-1.95,0.4628,0,5,15
SHORT,2025-01-31 19:45:00.000000 ,2025-02-01 05:30:00.000000 ,102350.01,102479.47,925.12,923.49,-1.63,-0.18,0.462,0,9,45
SHORT,2025-02-01 10:00:00.000000 ,2025-02-01 18:00:00.000000 ,101675.99,102262.5,923.49,917.7,-5.79,-0.63,0.4591,0,8,0
SHORT,2025-02-01 21:30:00.000000 ,2025-02-03 10:00:00.000000 ,101480.68,95277.0,917.7,973.31,55.61,6.06,0.4869,1,12,30
SHORT,2025-02-05 18:45:00.000000 ,2025-02-06 03:45:00.000000 ,97009.88,97476.16,973.31,968.15,-5.16,-0.53,0.4843,0,9,0
SHORT,2025-02-06 16:15:00.000000 ,2025-02-07 02:15:00.000000 ,97533.46,97267.19,968.15,970.31,2.16,0.22,0.4854,0,10,0
SHORT,2025-02-07 20:00:00.000000 ,2025-02-08 18:45:00.000000 ,96898.56,96475.0,970.31,974.06,3.75,0.39,0.4873,0,22,45
SHORT,2025-02-09 13:15:00.000000 ,2025-02-09 16:30:00.000000 ,96406.29,96440.59,974.06,973.23,-0.83,-0.09,0.4869,0,3,15
LONG,2025-02-10 05:45:00.000000 ,2025-02-10 16:15:00.000000 ,97189.3,97180.6,973.23,972.66,-0.57,-0.06,0.4866,0,10,30
LONG,2025-02-11 02:00:00.000000 ,2025-02-11 12:30:00.000000 ,97994.24,97711.4,972.66,969.36,-3.29,-0.34,0.4849,0,10,30
SHORT,2025-02-12 00:30:00.000000 ,2025-02-12 02:45:00.000000 ,95907.9,96014.0,969.36,967.81,-1.56,-0.16,0.4841,0,2,15
SHORT,2025-02-12 15:15:00.000000 ,2025-02-12 18:00:00.000000 ,94979.99,97354.88,967.81,943.14,-24.67,-2.55,0.4718,0,2,45
SHORT,2025-02-13 06:15:00.000000 ,2025-02-13 07:15:00.000000 ,96572.66,96145.52,943.14,946.83,3.7,0.39,0.4737,0,1,0
